0	1	2
0	2	2
0	3	4
0	4	0
0	5	1
0	6	0
0	7	4
0	8	3
0	9	2
0	10	2
0	11	2
0	12	2
0	13	4
0	14	1
0	15	0
0	16	1
0	17	3
0	18	0
0	19	0
0	20	2
0	21	0
0	22	2
0	23	1
0	24	4
0	25	0
0	26	1
0	27	2
0	28	4
0	29	2
0	30	4
0	31	4
0	32	1
0	33	2
0	34	2
0	35	1
0	36	4
0	37	0
0	38	3
0	39	3
0	40	1
0	41	4
0	42	3
0	43	1
0	44	4
0	45	1
0	46	0
0	47	2
0	48	1
0	49	4
1	2	2
1	3	4
1	4	2
1	5	3
1	6	4
1	7	2
1	8	1
1	9	2
1	10	0
1	11	4
1	12	1
1	13	2
1	14	3
1	15	0
1	16	4
1	17	2
1	18	4
1	19	1
1	20	4
1	21	4
1	22	2
1	23	1
1	24	2
1	25	4
1	26	3
1	27	0
1	28	4
1	29	2
1	30	1
1	31	0
1	32	3
1	33	2
1	34	0
1	35	1
1	36	3
1	37	4
1	38	0
1	39	2
1	40	1
1	41	1
1	42	1
1	43	3
1	44	1
1	45	4
1	46	3
1	47	2
1	48	1
1	49	0
2	3	4
2	4	3
2	5	2
2	6	4
2	7	0
2	8	2
2	9	2
2	10	0
2	11	4
2	12	0
2	13	1
2	14	2
2	15	3
2	16	4
2	17	0
2	18	3
2	19	0
2	20	1
2	21	3
2	22	4
2	23	4
2	24	3
2	25	2
2	26	0
2	27	4
2	28	2
2	29	3
2	30	1
2	31	1
2	32	0
2	33	0
2	34	0
2	35	0
2	36	1
2	37	4
2	38	1
2	39	4
2	40	1
2	41	0
2	42	0
2	43	2
2	44	4
2	45	0
2	46	0
2	47	0
2	48	0
2	49	1
3	4	4
3	5	1
3	6	1
3	7	2
3	8	0
3	9	4
3	10	0
3	11	0
3	12	1
3	13	4
3	14	3
3	15	3
3	16	4
3	17	1
3	18	2
3	19	3
3	20	2
3	21	4
3	22	0
3	23	3
3	24	2
3	25	4
3	26	1
3	27	2
3	28	2
3	29	2
3	30	3
3	31	3
3	32	2
3	33	0
3	34	2
3	35	3
3	36	2
3	37	1
3	38	2
3	39	1
3	40	2
3	41	1
3	42	3
3	43	4
3	44	4
3	45	3
3	46	4
3	47	2
3	48	1
3	49	0
4	5	0
4	6	4
4	7	4
4	8	1
4	9	2
4	10	2
4	11	1
4	12	2
4	13	0
4	14	3
4	15	1
4	16	1
4	17	2
4	18	4
4	19	0
4	20	2
4	21	0
4	22	1
4	23	4
4	24	1
4	25	4
4	26	0
4	27	0
4	28	0
4	29	3
4	30	3
4	31	4
4	32	0
4	33	4
4	34	0
4	35	1
4	36	4
4	37	4
4	38	2
4	39	3
4	40	4
4	41	3
4	42	1
4	43	3
4	44	0
4	45	0
4	46	2
4	47	2
4	48	4
4	49	3
5	6	4
5	7	0
5	8	3
5	9	1
5	10	4
5	11	3
5	12	2
5	13	1
5	14	4
5	15	3
5	16	1
5	17	2
5	18	3
5	19	1
5	20	0
5	21	2
5	22	0
5	23	2
5	24	4
5	25	3
5	26	0
5	27	3
5	28	1
5	29	1
5	30	0
5	31	3
5	32	2
5	33	3
5	34	4
5	35	3
5	36	4
5	37	4
5	38	1
5	39	3
5	40	0
5	41	2
5	42	1
5	43	3
5	44	0
5	45	4
5	46	1
5	47	3
5	48	1
5	49	4
6	7	0
6	8	1
6	9	2
6	10	0
6	11	1
6	12	4
6	13	4
6	14	0
6	15	1
6	16	2
6	17	1
6	18	3
6	19	4
6	20	0
6	21	1
6	22	1
6	23	2
6	24	4
6	25	2
6	26	4
6	27	3
6	28	3
6	29	0
6	30	0
6	31	4
6	32	3
6	33	2
6	34	0
6	35	1
6	36	2
6	37	2
6	38	2
6	39	4
6	40	2
6	41	4
6	42	0
6	43	1
6	44	3
6	45	2
6	46	1
6	47	1
6	48	0
6	49	3
7	8	1
7	9	3
7	10	1
7	11	0
7	12	2
7	13	4
7	14	2
7	15	3
7	16	4
7	17	4
7	18	4
7	19	0
7	20	0
7	21	1
7	22	0
7	23	2
7	24	1
7	25	3
7	26	1
7	27	4
7	28	1
7	29	0
7	30	1
7	31	4
7	32	1
7	33	3
7	34	3
7	35	2
7	36	4
7	37	0
7	38	3
7	39	2
7	40	3
7	41	4
7	42	0
7	43	2
7	44	0
7	45	0
7	46	1
7	47	3
7	48	1
7	49	2
8	9	1
8	10	3
8	11	1
8	12	4
8	13	3
8	14	0
8	15	3
8	16	0
8	17	3
8	18	1
8	19	0
8	20	2
8	21	1
8	22	4
8	23	0
8	24	2
8	25	4
8	26	2
8	27	1
8	28	2
8	29	2
8	30	1
8	31	1
8	32	2
8	33	1
8	34	2
8	35	2
8	36	0
8	37	1
8	38	0
8	39	0
8	40	1
8	41	0
8	42	0
8	43	4
8	44	2
8	45	2
8	46	1
8	47	2
8	48	3
8	49	4
9	10	0
9	11	3
9	12	0
9	13	4
9	14	3
9	15	3
9	16	2
9	17	4
9	18	2
9	19	1
9	20	0
9	21	0
9	22	4
9	23	4
9	24	4
9	25	4
9	26	1
9	27	0
9	28	2
9	29	1
9	30	0
9	31	3
9	32	4
9	33	4
9	34	3
9	35	1
9	36	3
9	37	4
9	38	0
9	39	1
9	40	1
9	41	3
9	42	0
9	43	3
9	44	4
9	45	3
9	46	0
9	47	1
9	48	1
9	49	4
10	11	2
10	12	0
10	13	4
10	14	1
10	15	2
10	16	0
10	17	0
10	18	2
10	19	4
10	20	1
10	21	2
10	22	3
10	23	4
10	24	2
10	25	2
10	26	1
10	27	2
10	28	2
10	29	4
10	30	0
10	31	2
10	32	2
10	33	1
10	34	0
10	35	0
10	36	4
10	37	4
10	38	4
10	39	2
10	40	0
10	41	3
10	42	2
10	43	1
10	44	1
10	45	0
10	46	0
10	47	1
10	48	3
10	49	2
11	12	2
11	13	1
11	14	4
11	15	1
11	16	0
11	17	4
11	18	0
11	19	4
11	20	1
11	21	1
11	22	4
11	23	4
11	24	4
11	25	3
11	26	0
11	27	1
11	28	4
11	29	3
11	30	1
11	31	4
11	32	3
11	33	3
11	34	3
11	35	0
11	36	0
11	37	4
11	38	2
11	39	1
11	40	1
11	41	2
11	42	4
11	43	2
11	44	4
11	45	1
11	46	0
11	47	4
11	48	1
11	49	0
12	13	0
12	14	1
12	15	2
12	16	3
12	17	0
12	18	3
12	19	3
12	20	2
12	21	3
12	22	4
12	23	0
12	24	4
12	25	2
12	26	1
12	27	1
12	28	3
12	29	0
12	30	1
12	31	0
12	32	4
12	33	4
12	34	1
12	35	4
12	36	0
12	37	1
12	38	0
12	39	1
12	40	0
12	41	1
12	42	1
12	43	0
12	44	2
12	45	2
12	46	4
12	47	4
12	48	3
12	49	4
13	14	4
13	15	4
13	16	1
13	17	3
13	18	4
13	19	4
13	20	2
13	21	1
13	22	4
13	23	1
13	24	4
13	25	3
13	26	4
13	27	2
13	28	4
13	29	3
13	30	0
13	31	1
13	32	3
13	33	2
13	34	2
13	35	2
13	36	1
13	37	4
13	38	0
13	39	4
13	40	1
13	41	0
13	42	4
13	43	1
13	44	3
13	45	4
13	46	2
13	47	1
13	48	0
13	49	3
14	15	0
14	16	3
14	17	2
14	18	4
14	19	4
14	20	3
14	21	1
14	22	1
14	23	3
14	24	2
14	25	1
14	26	3
14	27	0
14	28	3
14	29	3
14	30	4
14	31	3
14	32	1
14	33	2
14	34	3
14	35	3
14	36	2
14	37	0
14	38	3
14	39	3
14	40	4
14	41	4
14	42	4
14	43	0
14	44	4
14	45	3
14	46	3
14	47	0
14	48	3
14	49	0
15	16	1
15	17	1
15	18	4
15	19	3
15	20	1
15	21	3
15	22	1
15	23	1
15	24	3
15	25	2
15	26	0
15	27	0
15	28	3
15	29	1
15	30	3
15	31	2
15	32	0
15	33	3
15	34	2
15	35	0
15	36	0
15	37	2
15	38	2
15	39	1
15	40	3
15	41	3
15	42	1
15	43	1
15	44	1
15	45	4
15	46	0
15	47	3
15	48	0
15	49	1
16	17	0
16	18	1
16	19	3
16	20	1
16	21	1
16	22	4
16	23	0
16	24	2
16	25	4
16	26	0
16	27	2
16	28	0
16	29	1
16	30	1
16	31	1
16	32	0
16	33	1
16	34	2
16	35	1
16	36	0
16	37	4
16	38	0
16	39	3
16	40	1
16	41	2
16	42	4
16	43	0
16	44	0
16	45	1
16	46	3
16	47	1
16	48	0
16	49	4
17	18	4
17	19	3
17	20	0
17	21	0
17	22	2
17	23	4
17	24	3
17	25	4
17	26	0
17	27	4
17	28	4
17	29	1
17	30	4
17	31	2
17	32	3
17	33	3
17	34	0
17	35	0
17	36	2
17	37	0
17	38	2
17	39	2
17	40	0
17	41	1
17	42	4
17	43	2
17	44	2
17	45	2
17	46	4
17	47	0
17	48	4
17	49	0
18	19	0
18	20	0
18	21	3
18	22	3
18	23	4
18	24	1
18	25	2
18	26	4
18	27	4
18	28	4
18	29	3
18	30	3
18	31	2
18	32	3
18	33	3
18	34	2
18	35	3
18	36	3
18	37	1
18	38	0
18	39	4
18	40	0
18	41	4
18	42	3
18	43	0
18	44	1
18	45	2
18	46	0
18	47	4
18	48	4
18	49	0
19	20	0
19	21	1
19	22	1
19	23	1
19	24	2
19	25	0
19	26	0
19	27	3
19	28	1
19	29	0
19	30	4
19	31	2
19	32	0
19	33	0
19	34	1
19	35	4
19	36	1
19	37	2
19	38	0
19	39	2
19	40	0
19	41	4
19	42	0
19	43	2
19	44	3
19	45	1
19	46	2
19	47	4
19	48	2
19	49	0
20	21	4
20	22	0
20	23	2
20	24	3
20	25	3
20	26	0
20	27	0
20	28	2
20	29	0
20	30	1
20	31	4
20	32	4
20	33	3
20	34	2
20	35	1
20	36	0
20	37	3
20	38	0
20	39	0
20	40	0
20	41	3
20	42	3
20	43	1
20	44	4
20	45	1
20	46	0
20	47	1
20	48	2
20	49	1
21	22	3
21	23	2
21	24	2
21	25	0
21	26	2
21	27	2
21	28	4
21	29	1
21	30	4
21	31	3
21	32	4
21	33	2
21	34	3
21	35	4
21	36	1
21	37	2
21	38	2
21	39	3
21	40	3
21	41	1
21	42	2
21	43	3
21	44	2
21	45	2
21	46	3
21	47	4
21	48	3
21	49	1
22	23	1
22	24	2
22	25	1
22	26	3
22	27	2
22	28	0
22	29	4
22	30	0
22	31	0
22	32	4
22	33	2
22	34	4
22	35	3
22	36	2
22	37	0
22	38	1
22	39	3
22	40	3
22	41	0
22	42	3
22	43	2
22	44	4
22	45	0
22	46	2
22	47	4
22	48	3
22	49	2
23	24	1
23	25	0
23	26	3
23	27	3
23	28	2
23	29	0
23	30	3
23	31	0
23	32	0
23	33	0
23	34	1
23	35	0
23	36	3
23	37	2
23	38	1
23	39	2
23	40	0
23	41	0
23	42	0
23	43	4
23	44	0
23	45	1
23	46	1
23	47	2
23	48	0
23	49	0
24	25	4
24	26	4
24	27	4
24	28	0
24	29	0
24	30	4
24	31	0
24	32	3
24	33	4
24	34	4
24	35	2
24	36	1
24	37	3
24	38	0
24	39	0
24	40	0
24	41	2
24	42	2
24	43	4
24	44	2
24	45	1
24	46	2
24	47	2
24	48	3
24	49	3
25	26	1
25	27	2
25	28	4
25	29	3
25	30	2
25	31	4
25	32	1
25	33	1
25	34	4
25	35	3
25	36	2
25	37	2
25	38	1
25	39	0
25	40	4
25	41	0
25	42	2
25	43	3
25	44	4
25	45	2
25	46	0
25	47	0
25	48	0
25	49	1
26	27	0
26	28	2
26	29	2
26	30	1
26	31	1
26	32	1
26	33	3
26	34	3
26	35	1
26	36	4
26	37	1
26	38	1
26	39	3
26	40	0
26	41	3
26	42	2
26	43	3
26	44	0
26	45	3
26	46	3
26	47	0
26	48	3
26	49	4
27	28	2
27	29	2
27	30	4
27	31	4
27	32	4
27	33	3
27	34	4
27	35	2
27	36	1
27	37	4
27	38	2
27	39	3
27	40	3
27	41	2
27	42	0
27	43	0
27	44	1
27	45	2
27	46	1
27	47	4
27	48	0
27	49	0
28	29	2
28	30	4
28	31	1
28	32	1
28	33	3
28	34	0
28	35	3
28	36	2
28	37	0
28	38	3
28	39	1
28	40	2
28	41	3
28	42	1
28	43	0
28	44	1
28	45	1
28	46	2
28	47	3
28	48	1
28	49	4
29	30	3
29	31	0
29	32	0
29	33	3
29	34	1
29	35	0
29	36	2
29	37	0
29	38	4
29	39	2
29	40	3
29	41	2
29	42	0
29	43	4
29	44	0
29	45	3
29	46	0
29	47	2
29	48	1
29	49	1
30	31	4
30	32	4
30	33	1
30	34	4
30	35	0
30	36	1
30	37	3
30	38	4
30	39	0
30	40	0
30	41	0
30	42	4
30	43	2
30	44	0
30	45	4
30	46	0
30	47	4
30	48	2
30	49	2
31	32	4
31	33	2
31	34	2
31	35	2
31	36	1
31	37	0
31	38	0
31	39	2
31	40	4
31	41	2
31	42	3
31	43	4
31	44	3
31	45	3
31	46	4
31	47	2
31	48	2
31	49	4
32	33	4
32	34	3
32	35	3
32	36	1
32	37	2
32	38	2
32	39	4
32	40	4
32	41	0
32	42	3
32	43	3
32	44	2
32	45	4
32	46	2
32	47	3
32	48	0
32	49	4
33	34	2
33	35	4
33	36	3
33	37	3
33	38	1
33	39	4
33	40	4
33	41	0
33	42	4
33	43	2
33	44	4
33	45	4
33	46	1
33	47	2
33	48	0
33	49	3
34	35	1
34	36	2
34	37	0
34	38	4
34	39	2
34	40	1
34	41	4
34	42	0
34	43	4
34	44	0
34	45	4
34	46	1
34	47	3
34	48	3
34	49	3
35	36	0
35	37	3
35	38	3
35	39	0
35	40	0
35	41	3
35	42	4
35	43	4
35	44	3
35	45	1
35	46	1
35	47	4
35	48	4
35	49	1
36	37	3
36	38	0
36	39	3
36	40	3
36	41	3
36	42	0
36	43	3
36	44	4
36	45	3
36	46	1
36	47	1
36	48	2
36	49	4
37	38	0
37	39	1
37	40	1
37	41	0
37	42	0
37	43	1
37	44	4
37	45	1
37	46	4
37	47	1
37	48	4
37	49	0
38	39	3
38	40	2
38	41	3
38	42	3
38	43	2
38	44	3
38	45	4
38	46	0
38	47	0
38	48	1
38	49	1
39	40	4
39	41	2
39	42	1
39	43	0
39	44	4
39	45	1
39	46	1
39	47	3
39	48	1
39	49	0
40	41	1
40	42	0
40	43	2
40	44	4
40	45	4
40	46	1
40	47	2
40	48	2
40	49	1
41	42	3
41	43	1
41	44	0
41	45	0
41	46	0
41	47	1
41	48	3
41	49	1
42	43	2
42	44	1
42	45	4
42	46	1
42	47	1
42	48	4
42	49	0
43	44	4
43	45	3
43	46	0
43	47	4
43	48	3
43	49	4
44	45	2
44	46	4
44	47	4
44	48	0
44	49	1
45	46	0
45	47	4
45	48	1
45	49	2
46	47	4
46	48	4
46	49	3
47	48	4
47	49	1
48	49	3
